item_id,domain_id,metric_id,metric_name,aliases,coverage_node,role,option_A,option_B,option_C,option_D,option_E,your_answer(A/B/C/D/E),confidence(1-5),notes
bind_001,mg_domain_01,mg_metric_0003,Governed Governance Assertion 0003,governed governance assertion 0003 | governance assertion 0003 | public governance signal 0003,mg_metric_0003_coverage_contract_01,required_asset,mg_domain_01_node_007,mg_domain_01_node_012,mg_domain_01_node_006,mg_domain_01_node_014,E. 无法从已发布契约推出 / 信息不足,"A",5,基于coverage_contract追溯
bind_002,mg_domain_01,mg_metric_0006,Governed Semantic Caliber Assertion 0006,governed semantic caliber assertion 0006 | semantic caliber assertion 0006 | public governance signal 0006,mg_metric_0006_coverage_contract_01,required_asset,mg_domain_01_node_009,mg_domain_01_node_012,mg_domain_01_node_007,mg_domain_01_node_013,E. 无法从已发布契约推出 / 信息不足,"D",5,
bind_003,mg_domain_01,mg_metric_0011,Governed Ratio Caliber 0011,governed ratio caliber 0011 | ratio caliber 0011 | public governance signal 0011,mg_metric_0011_numerator_contract,numerator,mg_domain_01_node_006,mg_domain_01_node_008,mg_domain_01_node_011,mg_domain_01_node_003,E. 无法从已发布契约推出 / 信息不足,"C",5,血缘连通
bind_004,mg_domain_01,mg_metric_0014,Governed Disclosure Policy 0014,governed disclosure policy 0014 | disclosure policy 0014 | public governance signal 0014,mg_metric_0014_coverage_contract_02,required_asset,mg_domain_01_node_014,mg_domain_01_node_010,mg_domain_01_node_009,mg_domain_01_node_004,E. 无法从已发布契约推出 / 信息不足,"D",5,
bind_005,mg_domain_01,mg_metric_0014,Governed Disclosure Policy 0014,governed disclosure policy 0014 | disclosure policy 0014 | public governance signal 0014,mg_metric_0014_coverage_contract_01,required_asset,mg_domain_01_node_005,mg_domain_01_node_003,mg_domain_01_node_008,mg_domain_01_node_004,E. 无法从已发布契约推出 / 信息不足,"B",5,
bind_006,mg_domain_02,mg_metric_0044,Governed Time Anchor 0044,governed time anchor 0044 | time anchor 0044 | public governance signal 0044,mg_metric_0044_coverage_contract_01,required_asset,mg_domain_02_node_016,mg_domain_02_node_015,mg_domain_02_node_004,mg_domain_02_node_017,E. 无法从已发布契约推出 / 信息不足,"D",5,覆盖节点明确
bind_007,mg_domain_02,mg_metric_0045,Governed Time Anchor 0045,governed time anchor 0045 | time anchor 0045 | public governance signal 0045,mg_metric_0045_coverage_contract_01,required_asset,mg_domain_02_node_018,mg_domain_02_node_023,mg_domain_02_node_010,mg_domain_02_node_009,E. 无法从已发布契约推出 / 信息不足,"C",5,
bind_008,mg_domain_02,mg_metric_0022,Governed Semantic Caliber Assertion 0022,governed semantic caliber assertion 0022 | semantic caliber assertion 0022 | public governance signal 0022,mg_metric_0022_coverage_contract_01,required_asset,mg_domain_02_node_025,mg_domain_02_node_003,mg_domain_02_node_013,mg_domain_02_node_002,E. 无法从已发布契约推出 / 信息不足,"A",5,
bind_009,mg_domain_02,mg_metric_0036,Governed Temporal Caliber 0036,governed temporal caliber 0036 | temporal caliber 0036 | public governance signal 0036,mg_metric_0036_coverage_contract_01,required_asset,mg_domain_02_node_016,mg_domain_02_node_006,mg_domain_02_node_026,mg_domain_02_node_018,E. 无法从已发布契约推出 / 信息不足,"A",5,
bind_010,mg_domain_02,mg_metric_0040,Governed Temporal Caliber 0040,governed temporal caliber 0040 | temporal caliber 0040 | public governance signal 0040,mg_metric_0040_coverage_contract_01,required_asset,mg_domain_02_node_026,mg_domain_02_node_015,mg_domain_02_node_011,mg_domain_02_node_010,E. 无法从已发布契约推出 / 信息不足,"D",5,
